"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",5000,0.00784460892178436,237,39.2152,47,20,0.158275683497481
"2",5000,0.00840192038407682,269,42.0012,42,25,0.145168852887712
"3",5000,0.00822124424884977,251,41.098,42,25,0.150489466629134
"4",5000,0.00980388077615523,282,49.0096,58,25,0.157471159773959
"5",5000,0.00954014802960592,299,47.6912,52,22,0.156344307440863
"6",5000,0.00777995599119824,239,38.892,41,26,0.157336773183832
"7",5000,0.00951702340468094,306,47.5756,39,26,0.152048161336135
"8",5000,0.0086877375475095,282,43.43,40,26,0.14240961225186
"9",5000,0.008525625125025,271,42.6196,42,28,0.151601492284497
"10",5000,0.00946077215443089,310,47.2944,47,25,0.139846515610268
