"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",5000,0.00797223444688938,252,39.8532,54,28,0.141088855059068
"2",5000,0.00763664732946589,271,38.1756,41,23,0.128498998079186
"3",5000,0.00798143628725745,292,39.8992,47,28,0.129085191965273
"4",5000,0.0074502100420084,221,37.2436,49,42,0.158772323775627
"5",5000,0.00856963392678536,289,42.8396,46,28,0.137219571052879
"6",5000,0.00747029405881176,237,37.344,37,29,0.138416276822931
"7",5000,0.00698867773554711,233,34.9364,32,24,0.130525470204469
"8",5000,0.0079495099019804,224,39.7396,47,28,0.146661358176197
"9",5000,0.0080624924984997,239,40.3044,58,31,0.151352676683875
"10",5000,0.00768217643528706,300,38.4032,41,29,0.112045321948745
