"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",5000,0.0134909381876375,343,67.4412,60,33,0.169918880862768
"2",5000,0.0135159831966393,312,67.5664,63,25,0.205410118561865
"3",5000,0.0121634726945389,324,60.8052,57,28,0.170540880908557
"4",5000,0.0125892378475695,335,62.9336,57,40,0.162930102679682
"5",5000,0.012654450890178,309,63.2596,57,30,0.181452326866529
"6",5000,0.0127759151830366,335,63.8668,58,23,0.17905573661241
"7",5000,0.0130109221844369,330,65.0416,57,32,0.171845917485438
"8",5000,0.0131731146229246,309,65.8524,58,24,0.193550953630853
"9",5000,0.0125251450290058,340,62.6132,57,22,0.163456909686023
"10",5000,0.0115187837567514,280,57.5824,55,27,0.196797687821209
