"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",20000,0.00593890694534727,830,118.7722,58,NA
"2",20000,0.00622277613880694,841,124.4493,56,NA
"3",20000,0.00647965398269913,869,129.5866,62,NA
"4",20000,0.00603735186759338,806,120.741,59,NA
"5",20000,0.00641163058152908,876,128.2262,64,NA
"6",20000,0.00647742887144357,855,129.5421,56,NA
"7",20000,0.00635636281814091,816,127.1209,61,NA
"8",20000,0.00610554027701385,766,122.1047,70,NA
"9",20000,0.0058227211360568,766,116.4486,56,NA
"10",20000,0.00597046352317616,760,119.4033,57,NA
