"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.0165356774850077,318,58.4536199095023,81,27,0.174080084485754
"2",3536,0.016647679635449,344,58.8495475113122,75,16,0.156500999605111
"3",3536,0.0171281688608421,349,60.5480769230769,78,17,0.16166527334697
"4",3536,0.0170363270974803,348,60.2234162895928,82,32,0.163691824208398
"5",3536,0.0171003283263039,345,60.4496606334842,85,19,0.153359267956827
"6",3536,0.0166982406062196,332,59.0282805429864,81,19,0.151273415817018
"7",3536,0.0162505520105986,336,57.4457013574661,71,22,0.155305143148756
"8",3536,0.0169910462280876,345,60.0633484162896,78,22,0.154878131330711
"9",3536,0.0177497807957913,335,62.7454751131222,80,19,0.175684496141935
"10",3536,0.018302431406683,370,64.6990950226244,86,20,0.166210051929449
