"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",10000,0.00634405440544054,459,63.4342,43,58
"2",10000,0.0057008100810081,429,57.0024,39,48
"3",10000,0.00562602260226023,433,56.2546,39,53
"4",10000,0.00520648064806481,417,52.0596,35,35
"5",10000,0.00613721372137214,482,61.366,38,28
"6",10000,0.00583664366436644,471,58.3606,45,41
"7",10000,0.00614847484748475,467,61.4786,40,47
"8",10000,0.00571589158915892,430,57.1532,29,29
"9",10000,0.00537639763976398,412,53.7586,41,39
"10",10000,0.00553911391139114,433,55.3856,40,35
