"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",20000,0.00607888894444722,1126,121.5717,61,NA,0.102197862535554
"2",20000,0.00618765938296915,1152,123.747,59,NA,0.102436555523612
"3",20000,0.00581177558877944,1085,116.2297,50,NA,0.10051773352545
"4",20000,0.00576154807740387,1125,115.2252,56,NA,0.0956673089117818
"5",20000,0.00646426821341067,1191,129.2789,53,NA,0.103524465646528
"6",20000,0.00567746887344367,1103,113.5437,55,NA,0.0969495829603025
"7",20000,0.00585432271613581,1079,117.0806,55,NA,0.100608713535466
"8",20000,0.00545687284364218,1055,109.132,48,NA,0.0967819635166468
"9",20000,0.00578063403170158,1070,115.6069,60,NA,0.1009879821748
"10",20000,0.00630989549477474,1158,126.1916,56,NA,0.102111590244802
