"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",10000,0.00391851185118512,323,39.1812,52,41
"2",10000,0.00363914391439144,347,36.3878,47,47
"3",10000,0.00390943094309431,430,39.0904,49,31
"4",10000,0.0038994299429943,349,38.9904,51,40
"5",10000,0.00343430343034303,345,34.3396,35,35
"6",10000,0.00375753575357536,314,37.5716,41,54
"7",10000,0.00374425442544254,348,37.4388,42,37
"8",10000,0.00385752575257526,383,38.5714,37,49
"9",10000,0.00379421942194219,324,37.9384,49,38
"10",10000,0.00375701570157016,311,37.5664,46,41
