"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",5000,0.0126078015603121,319,63.0264,59,25,0.184433301250008
"2",5000,0.0130946189237848,336,65.46,57,24,0.177736084432315
"3",5000,0.0126426885377075,312,63.2008,58,32,0.185418193449389
"4",5000,0.012350550110022,319,61.7404,44,23,0.170822028458949
"5",5000,0.0129425885177035,319,64.7,54,22,0.18652267097424
"6",5000,0.0123319863972795,306,61.6476,53,29,0.179296840620238
"7",5000,0.012498099619924,308,62.478,54,28,0.177788280955275
"8",5000,0.0134652530506101,339,67.3128,61,38,0.191338872107761
"9",5000,0.0119779155831166,303,59.8776,52,23,0.191607307146679
"10",5000,0.0132392078415683,310,66.1828,65,26,0.196061045726221
