"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",5000,0.0129408281656331,298,64.6912,61,30
"2",5000,0.0126434886977395,323,63.2048,55,25
"3",5000,0.0123697539507902,308,61.8364,57,22
"4",5000,0.012947149429886,356,64.7228,64,24
"5",5000,0.0129419483896779,314,64.6968,59,31
"6",5000,0.0138742948589718,329,69.3576,65,20
"7",5000,0.0124636927385477,292,62.306,58,35
"8",5000,0.0119185437087417,329,59.5808,56,27
"9",5000,0.0125197039407882,302,62.586,57,21
"10",5000,0.0119978395679136,273,59.9772,53,25
