"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",10000,0.00515815581558156,391,51.5764,41,40
"2",10000,0.00538641864186419,402,53.8588,43,29
"3",10000,0.00524246424642464,346,52.4194,36,34
"4",10000,0.00578757875787579,385,57.87,50,50
"5",10000,0.00521390139013901,354,52.1338,40,41
"6",10000,0.00512773277327733,376,51.2722,39,41
"7",10000,0.00493713371337134,356,49.3664,44,43
"8",10000,0.00527358735873587,378,52.7306,45,42
"9",10000,0.00534001400140014,381,53.3948,41,40
"10",10000,0.00528882888288829,369,52.883,36,40
